CO_CURSO,primeira_geracaon_valido,primeira_geracaon_positivo,primeira_geracao_pct,mae_superiorn_valido,mae_superiorn_positivo,mae_superior_pct,pai_superiorn_valido,pai_superiorn_positivo,pai_superior_pct,renda_ate_3smn_valido,renda_ate_3smn_positivo,renda_ate_3sm_pct,trabalhan_valido,trabalhan_positivo,trabalha_pct,trabalha_40hn_valido,trabalha_40hn_positivo,trabalha_40h_pct,acao_afirmativan_valido,acao_afirmativan_positivo,acao_afirmativa_pct,auxilio_permanencian_valido,auxilio_permanencian_positivo,auxilio_permanencia_pct,bolsa_academican_valido,bolsa_academican_positivo,bolsa_academica_pct,estudo_4h_ou_maisn_valido,estudo_4h_ou_maisn_positivo,estudo_4h_ou_mais_pct,pretende_magisterion_valido,pretende_magisterion_positivo,pretende_magisterio_pct
1128375,6,5,0.8333333333333334,6,0,0.0,6,0,0.0,6,2,0.3333333333333333,6,4,0.6666666666666666,6,1,0.16666666666666666,6,2,0.3333333333333333,6,1,0.16666666666666666,5,4,0.8,6,3,0.5,6,6,1.0
1128378,10,3,0.3,11,7,0.6363636363636364,10,4,0.4,11,7,0.6363636363636364,11,5,0.45454545454545453,11,2,0.18181818181818182,11,4,0.36363636363636365,11,3,0.2727272727272727,9,6,0.6666666666666666,11,6,0.5454545454545454,11,5,0.45454545454545453
1128936,10,4,0.4,12,2,0.16666666666666666,12,2,0.16666666666666666,12,9,0.75,12,8,0.6666666666666666,12,3,0.25,12,3,0.25,12,7,0.5833333333333334,10,6,0.6,12,5,0.4166666666666667,12,9,0.75
1128938,12,3,0.25,12,1,0.08333333333333333,12,3,0.25,12,3,0.25,12,11,0.9166666666666666,12,8,0.6666666666666666,12,3,0.25,12,2,0.16666666666666666,9,3,0.3333333333333333,12,5,0.4166666666666667,12,5,0.4166666666666667
1129073,11,6,0.5454545454545454,11,1,0.09090909090909091,9,2,0.2222222222222222,11,8,0.7272727272727273,11,7,0.6363636363636364,11,3,0.2727272727272727,11,4,0.36363636363636365,11,7,0.6363636363636364,7,6,0.8571428571428571,11,6,0.5454545454545454,11,10,0.9090909090909091
1131697,26,7,0.2692307692307692,25,10,0.4,23,6,0.2608695652173913,26,14,0.5384615384615384,26,20,0.7692307692307693,26,8,0.3076923076923077,26,9,0.34615384615384615,26,6,0.23076923076923078,17,5,0.29411764705882354,26,13,0.5,26,20,0.7692307692307693
1135958,1,0,0.0,3,0,0.0,3,0,0.0,3,3,1.0,3,2,0.6666666666666666,3,0,0.0,3,3,1.0,3,0,0.0,3,0,0.0,3,2,0.6666666666666666,3,3,1.0
1137846,22,9,0.4090909090909091,22,7,0.3181818181818182,22,1,0.045454545454545456,22,13,0.5909090909090909,22,18,0.8181818181818182,22,10,0.45454545454545453,22,4,0.18181818181818182,22,0,0.0,22,1,0.045454545454545456,22,10,0.45454545454545453,22,15,0.6818181818181818
1139335,4,4,1.0,4,0,0.0,3,0,0.0,4,2,0.5,4,4,1.0,4,2,0.5,4,2,0.5,4,0,0.0,4,0,0.0,4,4,1.0,4,4,1.0
1140021,16,4,0.25,18,2,0.1111111111111111,18,2,0.1111111111111111,18,7,0.3888888888888889,18,17,0.9444444444444444,18,13,0.7222222222222222,18,6,0.3333333333333333,18,0,0.0,17,0,0.0,18,10,0.5555555555555556,18,18,1.0
1142320,9,2,0.2222222222222222,10,1,0.1,9,1,0.1111111111111111,10,10,1.0,10,7,0.7,10,5,0.5,10,7,0.7,10,6,0.6,5,5,1.0,10,4,0.4,10,9,0.9
1151457,6,2,0.3333333333333333,6,0,0.0,5,0,0.0,6,5,0.8333333333333334,6,6,1.0,6,3,0.5,6,3,0.5,6,0,0.0,6,0,0.0,6,5,0.8333333333333334,6,6,1.0
1152312,4,0,0.0,4,3,0.75,4,1,0.25,4,3,0.75,4,3,0.75,4,2,0.5,4,1,0.25,4,2,0.5,3,1,0.3333333333333333,4,2,0.5,4,4,1.0
1152591,7,1,0.14285714285714285,7,1,0.14285714285714285,7,1,0.14285714285714285,7,4,0.5714285714285714,7,7,1.0,7,2,0.2857142857142857,7,0,0.0,7,0,0.0,7,0,0.0,7,6,0.8571428571428571,7,5,0.7142857142857143
1152637,14,1,0.07142857142857142,15,7,0.4666666666666667,15,2,0.13333333333333333,15,5,0.3333333333333333,15,15,1.0,15,6,0.4,15,5,0.3333333333333333,15,3,0.2,13,12,0.9230769230769231,15,12,0.8,15,11,0.7333333333333333
1152880,24,18,0.75,26,2,0.07692307692307693,25,0,0.0,26,25,0.9615384615384616,26,7,0.2692307692307692,26,3,0.11538461538461539,26,10,0.38461538461538464,26,19,0.7307692307692307,19,12,0.631578947368421,26,18,0.6923076923076923,26,24,0.9230769230769231
1153801,31,13,0.41935483870967744,33,10,0.30303030303030304,28,3,0.10714285714285714,33,22,0.6666666666666666,33,25,0.7575757575757576,33,9,0.2727272727272727,33,17,0.5151515151515151,33,21,0.6363636363636364,14,6,0.42857142857142855,33,15,0.45454545454545453,33,26,0.7878787878787878
1154825,18,6,0.3333333333333333,18,1,0.05555555555555555,18,0,0.0,18,14,0.7777777777777778,18,14,0.7777777777777778,18,9,0.5,18,4,0.2222222222222222,18,1,0.05555555555555555,17,3,0.17647058823529413,18,9,0.5,18,18,1.0
1155366,16,8,0.5,16,1,0.0625,16,0,0.0,16,14,0.875,16,11,0.6875,16,5,0.3125,16,6,0.375,16,2,0.125,13,8,0.6153846153846154,16,5,0.3125,16,8,0.5
1156565,4,1,0.25,3,0,0.0,3,1,0.3333333333333333,4,3,0.75,4,2,0.5,4,2,0.5,4,0,0.0,4,1,0.25,3,2,0.6666666666666666,4,3,0.75,4,4,1.0
1156623,6,1,0.16666666666666666,7,2,0.2857142857142857,6,0,0.0,7,5,0.7142857142857143,7,7,1.0,7,5,0.7142857142857143,7,4,0.5714285714285714,7,2,0.2857142857142857,6,6,1.0,7,2,0.2857142857142857,7,7,1.0
1160182,7,3,0.42857142857142855,7,0,0.0,7,0,0.0,7,5,0.7142857142857143,7,7,1.0,7,4,0.5714285714285714,7,3,0.42857142857142855,7,2,0.2857142857142857,7,1,0.14285714285714285,7,1,0.14285714285714285,7,6,0.8571428571428571
1160371,26,9,0.34615384615384615,29,6,0.20689655172413793,27,1,0.037037037037037035,29,25,0.8620689655172413,29,21,0.7241379310344828,29,11,0.3793103448275862,29,14,0.4827586206896552,29,14,0.4827586206896552,28,17,0.6071428571428571,29,10,0.3448275862068966,29,19,0.6551724137931034
1160424,5,4,0.8,5,0,0.0,5,0,0.0,5,2,0.4,5,5,1.0,5,5,1.0,5,2,0.4,5,4,0.8,2,2,1.0,5,2,0.4,5,4,0.8
1160481,4,2,0.5,5,0,0.0,5,0,0.0,5,5,1.0,5,4,0.8,5,0,0.0,5,2,0.4,5,0,0.0,5,0,0.0,5,4,0.8,5,4,0.8
1160830,311,89,0.2861736334405145,316,59,0.18670886075949367,296,46,0.1554054054054054,323,200,0.6191950464396285,323,274,0.848297213622291,323,156,0.48297213622291024,323,48,0.14860681114551083,323,5,0.015479876160990712,319,26,0.08150470219435736,323,171,0.5294117647058824,323,278,0.8606811145510835
1160979,18,11,0.6111111111111112,20,1,0.05,18,2,0.1111111111111111,21,19,0.9047619047619048,21,11,0.5238095238095238,21,4,0.19047619047619047,21,9,0.42857142857142855,21,4,0.19047619047619047,19,13,0.6842105263157895,21,6,0.2857142857142857,21,17,0.8095238095238095
1161404,26,8,0.3076923076923077,28,5,0.17857142857142858,27,6,0.2222222222222222,28,21,0.75,28,23,0.8214285714285714,28,14,0.5,28,21,0.75,28,8,0.2857142857142857,17,11,0.6470588235294118,28,18,0.6428571428571429,28,25,0.8928571428571429
1166758,18,6,0.3333333333333333,18,0,0.0,17,0,0.0,18,14,0.7777777777777778,18,17,0.9444444444444444,18,10,0.5555555555555556,18,5,0.2777777777777778,18,0,0.0,18,8,0.4444444444444444,18,11,0.6111111111111112,18,12,0.6666666666666666
1168573,9,9,1.0,9,0,0.0,7,0,0.0,9,9,1.0,9,9,1.0,9,6,0.6666666666666666,9,4,0.4444444444444444,9,2,0.2222222222222222,6,3,0.5,9,1,0.1111111111111111,9,5,0.5555555555555556
1172590,105,38,0.3619047619047619,109,18,0.1651376146788991,98,10,0.10204081632653061,114,87,0.7631578947368421,114,103,0.9035087719298246,114,50,0.43859649122807015,114,21,0.18421052631578946,114,4,0.03508771929824561,113,7,0.061946902654867256,114,53,0.4649122807017544,114,92,0.8070175438596491
1179877,29,19,0.6551724137931034,31,3,0.0967741935483871,30,1,0.03333333333333333,33,28,0.8484848484848485,33,22,0.6666666666666666,33,12,0.36363636363636365,33,7,0.21212121212121213,33,9,0.2727272727272727,22,8,0.36363636363636365,33,21,0.6363636363636364,33,31,0.9393939393939394
1181042,19,9,0.47368421052631576,20,3,0.15,18,2,0.1111111111111111,20,11,0.55,20,15,0.75,20,5,0.25,20,10,0.5,20,9,0.45,12,8,0.6666666666666666,20,14,0.7,20,17,0.85
1182640,15,7,0.4666666666666667,18,3,0.16666666666666666,18,2,0.1111111111111111,18,15,0.8333333333333334,18,11,0.6111111111111112,18,5,0.2777777777777778,18,3,0.16666666666666666,18,3,0.16666666666666666,16,4,0.25,18,8,0.4444444444444444,18,15,0.8333333333333334
1182765,13,4,0.3076923076923077,13,2,0.15384615384615385,13,1,0.07692307692307693,13,11,0.8461538461538461,13,11,0.8461538461538461,13,8,0.6153846153846154,13,9,0.6923076923076923,13,5,0.38461538461538464,8,6,0.75,13,5,0.38461538461538464,13,10,0.7692307692307693
1184450,24,15,0.625,25,3,0.12,24,0,0.0,25,25,1.0,25,9,0.36,25,1,0.04,25,14,0.56,25,13,0.52,22,22,1.0,25,13,0.52,25,20,0.8
1185309,5,3,0.6,5,1,0.2,5,0,0.0,5,4,0.8,5,5,1.0,5,3,0.6,5,0,0.0,5,0,0.0,5,1,0.2,5,1,0.2,5,5,1.0
1185450,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
1188419,11,3,0.2727272727272727,12,3,0.25,11,2,0.18181818181818182,12,11,0.9166666666666666,12,4,0.3333333333333333,12,0,0.0,12,7,0.5833333333333334,12,4,0.3333333333333333,10,5,0.5,12,9,0.75,12,9,0.75
1190159,889,288,0.32395950506186727,924,154,0.16666666666666666,864,83,0.09606481481481481,949,639,0.6733403582718651,949,838,0.8830347734457323,949,499,0.5258166491043204,949,148,0.1559536354056902,949,19,0.020021074815595362,940,102,0.10851063829787234,949,471,0.49631190727081137,949,796,0.8387776606954689
1193885,5,3,0.6,6,1,0.16666666666666666,6,2,0.3333333333333333,6,2,0.3333333333333333,6,6,1.0,6,4,0.6666666666666666,6,2,0.3333333333333333,6,0,0.0,6,0,0.0,6,1,0.16666666666666666,6,5,0.8333333333333334
1202856,39,11,0.28205128205128205,37,6,0.16216216216216217,38,3,0.07894736842105263,40,29,0.725,40,35,0.875,40,24,0.6,40,9,0.225,40,0,0.0,40,1,0.025,40,19,0.475,40,30,0.75
1203136,25,6,0.24,26,5,0.19230769230769232,23,0,0.0,27,20,0.7407407407407407,27,25,0.9259259259259259,27,20,0.7407407407407407,27,8,0.2962962962962963,27,0,0.0,27,1,0.037037037037037035,27,11,0.4074074074074074,27,18,0.6666666666666666
1205924,21,7,0.3333333333333333,20,4,0.2,21,1,0.047619047619047616,21,8,0.38095238095238093,21,20,0.9523809523809523,21,17,0.8095238095238095,21,4,0.19047619047619047,21,0,0.0,21,1,0.047619047619047616,21,14,0.6666666666666666,21,17,0.8095238095238095
1214485,7,2,0.2857142857142857,7,3,0.42857142857142855,6,0,0.0,7,5,0.7142857142857143,7,6,0.8571428571428571,7,4,0.5714285714285714,7,3,0.42857142857142855,7,0,0.0,6,3,0.5,7,5,0.7142857142857143,7,7,1.0
1258370,4,1,0.25,4,1,0.25,4,1,0.25,4,4,1.0,4,4,1.0,4,1,0.25,4,3,0.75,4,0,0.0,4,0,0.0,4,1,0.25,4,4,1.0
1260434,10,3,0.3,11,4,0.36363636363636365,11,4,0.36363636363636365,11,6,0.5454545454545454,11,10,0.9090909090909091,11,3,0.2727272727272727,11,5,0.45454545454545453,11,1,0.09090909090909091,7,3,0.42857142857142855,11,8,0.7272727272727273,11,9,0.8181818181818182
1264321,6,0,0.0,6,3,0.5,5,1,0.2,6,3,0.5,6,5,0.8333333333333334,6,2,0.3333333333333333,6,1,0.16666666666666666,6,3,0.5,1,1,1.0,6,4,0.6666666666666666,6,5,0.8333333333333334
1264336,6,5,0.8333333333333334,6,0,0.0,6,0,0.0,6,6,1.0,6,3,0.5,6,1,0.16666666666666666,6,4,0.6666666666666666,6,4,0.6666666666666666,5,2,0.4,6,1,0.16666666666666666,6,5,0.8333333333333334
1266766,49,8,0.16326530612244897,48,13,0.2708333333333333,48,6,0.125,50,18,0.36,50,48,0.96,50,37,0.74,50,3,0.06,50,2,0.04,48,1,0.020833333333333332,50,25,0.5,50,42,0.84
1268237,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
1270326,3,2,0.6666666666666666,3,0,0.0,3,0,0.0,3,1,0.3333333333333333,3,3,1.0,3,2,0.6666666666666666,3,3,1.0,3,1,0.3333333333333333,2,2,1.0,3,2,0.6666666666666666,3,3,1.0
1270371,11,4,0.36363636363636365,12,5,0.4166666666666667,12,4,0.3333333333333333,12,4,0.3333333333333333,12,7,0.5833333333333334,12,3,0.25,12,4,0.3333333333333333,12,3,0.25,8,6,0.75,12,9,0.75,12,6,0.5
1284904,5,4,0.8,5,0,0.0,5,0,0.0,5,5,1.0,5,2,0.4,5,1,0.2,5,2,0.4,5,4,0.8,2,2,1.0,5,4,0.8,5,5,1.0
1285866,378,84,0.2222222222222222,382,97,0.25392670157068065,361,60,0.16620498614958448,387,176,0.45478036175710596,387,331,0.8552971576227391,387,222,0.5736434108527132,387,26,0.06718346253229975,387,7,0.01808785529715762,380,25,0.06578947368421052,387,195,0.5038759689922481,387,332,0.8578811369509044
1292570,554,150,0.27075812274368233,566,89,0.15724381625441697,525,48,0.09142857142857143,587,344,0.58603066439523,587,541,0.9216354344122658,587,345,0.5877342419080068,587,80,0.1362862010221465,587,18,0.030664395229982964,575,49,0.08521739130434783,587,239,0.4071550255536627,587,481,0.8194207836456558
1292767,10,6,0.6,11,0,0.0,11,0,0.0,11,11,1.0,11,5,0.45454545454545453,11,0,0.0,11,9,0.8181818181818182,11,9,0.8181818181818182,8,7,0.875,11,10,0.9090909090909091,11,11,1.0
1292902,11,5,0.45454545454545453,11,2,0.18181818181818182,11,2,0.18181818181818182,11,6,0.5454545454545454,11,11,1.0,11,8,0.7272727272727273,11,2,0.18181818181818182,11,3,0.2727272727272727,4,3,0.75,11,4,0.36363636363636365,11,7,0.6363636363636364
1296649,91,18,0.1978021978021978,91,25,0.27472527472527475,86,15,0.1744186046511628,94,52,0.5531914893617021,94,87,0.925531914893617,94,55,0.5851063829787234,94,7,0.07446808510638298,94,2,0.02127659574468085,90,4,0.044444444444444446,94,45,0.4787234042553192,94,76,0.8085106382978723
1298841,9,0,0.0,10,2,0.2,10,0,0.0,10,5,0.5,10,9,0.9,10,5,0.5,10,1,0.1,10,1,0.1,9,0,0.0,10,4,0.4,10,8,0.8
1300008,53,12,0.22641509433962265,56,8,0.14285714285714285,52,3,0.057692307692307696,56,29,0.5178571428571429,56,51,0.9107142857142857,56,37,0.6607142857142857,56,7,0.125,56,0,0.0,56,0,0.0,56,25,0.44642857142857145,56,45,0.8035714285714286
1300375,27,10,0.37037037037037035,28,5,0.17857142857142858,24,3,0.125,28,21,0.75,28,16,0.5714285714285714,28,5,0.17857142857142858,28,18,0.6428571428571429,28,11,0.39285714285714285,26,14,0.5384615384615384,28,14,0.5,28,21,0.75
1304557,15,4,0.26666666666666666,15,3,0.2,14,4,0.2857142857142857,16,13,0.8125,16,6,0.375,16,1,0.0625,16,11,0.6875,16,6,0.375,12,10,0.8333333333333334,16,9,0.5625,16,11,0.6875
1312211,8,4,0.5,8,3,0.375,8,1,0.125,8,7,0.875,8,6,0.75,8,4,0.5,8,4,0.5,8,1,0.125,4,4,1.0,8,5,0.625,8,8,1.0
1313067,26,7,0.2692307692307692,25,6,0.24,23,1,0.043478260869565216,26,15,0.5769230769230769,26,26,1.0,26,20,0.7692307692307693,26,10,0.38461538461538464,26,0,0.0,26,3,0.11538461538461539,26,7,0.2692307692307692,26,16,0.6153846153846154
1313355,10,6,0.6,10,1,0.1,9,1,0.1111111111111111,10,3,0.3,10,8,0.8,10,6,0.6,10,5,0.5,10,5,0.5,8,7,0.875,10,2,0.2,10,7,0.7
1313360,10,6,0.6,10,1,0.1,7,0,0.0,10,7,0.7,10,7,0.7,10,5,0.5,10,4,0.4,10,5,0.5,6,4,0.6666666666666666,10,7,0.7,10,9,0.9
1315060,971,263,0.2708547888774459,983,180,0.18311291963377416,930,104,0.11182795698924732,1007,449,0.4458788480635551,1007,928,0.9215491559086395,1007,596,0.5918570009930486,1007,101,0.1002979145978153,1007,49,0.04865938430983118,953,67,0.07030430220356768,1007,505,0.5014895729890765,1007,888,0.8818272095332671
1321332,18,5,0.2777777777777778,17,1,0.058823529411764705,16,1,0.0625,18,11,0.6111111111111112,18,13,0.7222222222222222,18,5,0.2777777777777778,18,7,0.3888888888888889,18,13,0.7222222222222222,15,13,0.8666666666666667,18,7,0.3888888888888889,18,16,0.8888888888888888
1321334,3,1,0.3333333333333333,3,0,0.0,3,1,0.3333333333333333,3,2,0.6666666666666666,3,2,0.6666666666666666,3,2,0.6666666666666666,3,1,0.3333333333333333,3,0,0.0,3,0,0.0,3,1,0.3333333333333333,3,2,0.6666666666666666
1321678,4,1,0.25,4,1,0.25,3,0,0.0,4,2,0.5,4,4,1.0,4,3,0.75,4,0,0.0,4,0,0.0,4,0,0.0,4,0,0.0,4,4,1.0
1327336,11,3,0.2727272727272727,11,2,0.18181818181818182,10,1,0.1,11,8,0.7272727272727273,11,5,0.45454545454545453,11,0,0.0,11,6,0.5454545454545454,11,6,0.5454545454545454,11,6,0.5454545454545454,11,4,0.36363636363636365,11,10,0.9090909090909091
1327524,12,6,0.5,12,0,0.0,12,0,0.0,12,12,1.0,12,10,0.8333333333333334,12,5,0.4166666666666667,12,1,0.08333333333333333,12,0,0.0,12,2,0.16666666666666666,12,4,0.3333333333333333,12,10,0.8333333333333334
1330050,71,26,0.36619718309859156,75,13,0.17333333333333334,70,6,0.08571428571428572,75,44,0.5866666666666667,75,61,0.8133333333333334,75,37,0.49333333333333335,75,10,0.13333333333333333,75,3,0.04,75,9,0.12,75,38,0.5066666666666667,75,61,0.8133333333333334
1330203,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
1330366,2,1,0.5,2,1,0.5,2,1,0.5,2,2,1.0,2,2,1.0,2,2,1.0,2,0,0.0,2,1,0.5,1,1,1.0,2,1,0.5,2,2,1.0
1330369,3,1,0.3333333333333333,3,2,0.6666666666666666,3,1,0.3333333333333333,3,2,0.6666666666666666,3,2,0.6666666666666666,3,0,0.0,3,1,0.3333333333333333,3,2,0.6666666666666666,2,1,0.5,3,2,0.6666666666666666,3,2,0.6666666666666666
1330372,3,2,0.6666666666666666,3,0,0.0,3,0,0.0,3,1,0.3333333333333333,3,2,0.6666666666666666,3,1,0.3333333333333333,3,1,0.3333333333333333,3,3,1.0,1,1,1.0,3,2,0.6666666666666666,3,3,1.0
1330384,17,9,0.5294117647058824,17,2,0.11764705882352941,16,3,0.1875,17,15,0.8823529411764706,17,13,0.7647058823529411,17,6,0.35294117647058826,17,12,0.7058823529411765,17,11,0.6470588235294118,14,6,0.42857142857142855,17,8,0.47058823529411764,17,16,0.9411764705882353
1331356,13,4,0.3076923076923077,12,0,0.0,10,2,0.2,14,7,0.5,14,11,0.7857142857142857,14,6,0.42857142857142855,14,3,0.21428571428571427,14,5,0.35714285714285715,13,4,0.3076923076923077,14,6,0.42857142857142855,14,14,1.0
1332695,17,11,0.6470588235294118,18,2,0.1111111111111111,17,3,0.17647058823529413,18,13,0.7222222222222222,18,11,0.6111111111111112,18,5,0.2777777777777778,18,2,0.1111111111111111,18,7,0.3888888888888889,13,6,0.46153846153846156,18,9,0.5,18,16,0.8888888888888888
1333201,17,5,0.29411764705882354,17,3,0.17647058823529413,14,0,0.0,17,11,0.6470588235294118,17,15,0.8823529411764706,17,7,0.4117647058823529,17,9,0.5294117647058824,17,10,0.5882352941176471,9,7,0.7777777777777778,17,11,0.6470588235294118,17,15,0.8823529411764706
1338287,3,2,0.6666666666666666,3,1,0.3333333333333333,3,0,0.0,3,1,0.3333333333333333,3,2,0.6666666666666666,3,1,0.3333333333333333,3,0,0.0,3,0,0.0,0,0,,3,2,0.6666666666666666,3,2,0.6666666666666666
1340989,16,6,0.375,15,5,0.3333333333333333,15,2,0.13333333333333333,16,14,0.875,16,11,0.6875,16,3,0.1875,16,8,0.5,16,9,0.5625,10,8,0.8,16,8,0.5,16,13,0.8125
1341230,12,7,0.5833333333333334,11,2,0.18181818181818182,11,0,0.0,12,11,0.9166666666666666,12,2,0.16666666666666666,12,0,0.0,12,5,0.4166666666666667,12,4,0.3333333333333333,10,10,1.0,12,9,0.75,12,11,0.9166666666666666
1341347,12,7,0.5833333333333334,12,2,0.16666666666666666,13,4,0.3076923076923077,13,8,0.6153846153846154,13,12,0.9230769230769231,13,9,0.6923076923076923,13,5,0.38461538461538464,13,3,0.23076923076923078,8,6,0.75,13,4,0.3076923076923077,13,10,0.7692307692307693
1349112,12,2,0.16666666666666666,12,4,0.3333333333333333,11,2,0.18181818181818182,12,6,0.5,12,11,0.9166666666666666,12,8,0.6666666666666666,12,2,0.16666666666666666,12,0,0.0,11,1,0.09090909090909091,12,5,0.4166666666666667,12,10,0.8333333333333334
1350689,7,5,0.7142857142857143,7,0,0.0,7,1,0.14285714285714285,7,6,0.8571428571428571,7,2,0.2857142857142857,7,0,0.0,7,0,0.0,7,4,0.5714285714285714,6,3,0.5,7,4,0.5714285714285714,7,7,1.0
1366967,17,6,0.35294117647058826,17,3,0.17647058823529413,17,3,0.17647058823529413,17,8,0.47058823529411764,17,14,0.8235294117647058,17,9,0.5294117647058824,17,10,0.5882352941176471,17,9,0.5294117647058824,12,9,0.75,17,6,0.35294117647058826,17,16,0.9411764705882353
1375344,24,9,0.375,26,4,0.15384615384615385,23,3,0.13043478260869565,26,12,0.46153846153846156,26,23,0.8846153846153846,26,15,0.5769230769230769,26,2,0.07692307692307693,26,0,0.0,26,1,0.038461538461538464,26,13,0.5,26,24,0.9230769230769231
1379285,61,17,0.2786885245901639,63,13,0.20634920634920634,58,9,0.15517241379310345,64,37,0.578125,64,58,0.90625,64,37,0.578125,64,8,0.125,64,2,0.03125,64,4,0.0625,64,39,0.609375,64,51,0.796875
1382647,9,0,0.0,9,4,0.4444444444444444,9,3,0.3333333333333333,9,1,0.1111111111111111,9,7,0.7777777777777778,9,3,0.3333333333333333,9,1,0.1111111111111111,9,0,0.0,9,1,0.1111111111111111,9,6,0.6666666666666666,9,8,0.8888888888888888
1382815,4,3,0.75,4,0,0.0,4,0,0.0,4,2,0.5,4,4,1.0,4,4,1.0,4,1,0.25,4,0,0.0,4,0,0.0,4,4,1.0,4,2,0.5
1385337,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
1387235,8,3,0.375,8,1,0.125,6,1,0.16666666666666666,8,7,0.875,8,8,1.0,8,3,0.375,8,3,0.375,8,4,0.5,6,4,0.6666666666666666,8,4,0.5,8,5,0.625
