CO_CURSO,ano_fim_em_n,ano_fim_em_mediana,ano_ingresso_n,ano_ingresso_mediana,anos_desde_ingresso_media,anos_desde_ingresso_mediana,turno_n_valido,turno_noturno_n,turno_noturno_pct
123356,31,2008.0,31,2017.0,7.516129032258065,8.0,31,0,0.0
123472,78,2010.0,78,2025.0,0.8076923076923077,0.0,78,0,0.0
123494,2,2017.5,2,2020.0,5.0,5.0,2,2,1.0
123519,13,2017.0,13,2019.0,6.846153846153846,6.0,13,13,1.0
123787,3,2013.0,3,2019.0,5.333333333333333,6.0,3,3,1.0
300520,31,2017.0,31,2019.0,6.741935483870968,6.0,31,12,0.3870967741935484
312333,43,2020.0,43,2022.0,3.744186046511628,3.0,43,27,0.627906976744186
1101770,46,2016.0,45,2019.0,6.533333333333333,6.0,46,46,1.0
1102402,36,2012.5,36,2015.0,9.75,10.0,36,24,0.6666666666666666
1102641,4,2014.5,4,2020.0,5.0,5.0,4,4,1.0
1102795,10,2020.0,10,2021.0,4.7,4.0,10,10,1.0
1102963,4,2017.5,4,2018.5,6.25,6.5,4,4,1.0
1103025,10,2017.0,10,2022.0,3.9,3.0,10,10,1.0
1103031,10,2021.0,10,2022.0,3.2,3.0,10,10,1.0
1103032,4,2017.0,4,2021.0,4.25,4.0,4,4,1.0
1103185,2,2019.5,2,2020.5,4.5,4.5,2,2,1.0
1103461,15,2018.0,15,2020.0,4.666666666666667,5.0,15,0,0.0
1103556,20,2015.0,20,2019.0,6.05,6.0,20,20,1.0
1103657,15,2019.0,15,2021.0,4.533333333333333,4.0,15,15,1.0
1103813,30,2019.0,30,2020.0,5.033333333333333,5.0,30,30,1.0
1103910,24,2016.0,24,2018.5,6.833333333333333,6.5,24,24,1.0
1103911,28,2018.0,28,2020.5,5.571428571428571,4.5,28,28,1.0
1103912,11,2018.0,11,2021.0,4.545454545454546,4.0,11,11,1.0
1103914,26,2017.5,26,2019.5,5.961538461538462,5.5,26,26,1.0
1105218,25,2018.0,25,2020.0,4.68,5.0,25,14,0.56
1106721,6,2020.5,6,2022.0,3.3333333333333335,3.0,6,6,1.0
1108212,24,2018.0,24,2022.0,4.208333333333333,3.0,24,0,0.0
1111510,6,2018.0,6,2020.0,4.333333333333333,5.0,6,0,0.0
1117203,10,2018.0,10,2020.0,5.3,5.0,10,10,1.0
1122743,17,2015.0,17,2019.0,6.823529411764706,6.0,17,17,1.0
1123270,24,2019.0,24,2021.5,4.708333333333333,3.5,24,1,0.041666666666666664
1126144,7,2015.0,7,2019.0,5.285714285714286,6.0,7,0,0.0
1127113,31,2018.0,31,2020.0,6.193548387096774,5.0,31,31,1.0
1127676,10,2020.0,10,2021.0,4.2,4.0,10,10,1.0
1128030,17,2016.0,17,2021.0,4.470588235294118,4.0,17,17,1.0
1128096,25,2017.0,25,2020.0,4.96,5.0,25,25,1.0
1128169,48,2018.0,48,2021.0,4.541666666666667,4.0,48,0,0.0
1128360,15,2017.0,15,2021.0,4.8,4.0,15,15,1.0
1128375,8,2016.5,8,2019.5,5.375,5.5,8,1,0.125
1128378,14,2017.0,14,2020.5,4.785714285714286,4.5,14,0,0.0
1128936,15,2015.0,15,2021.0,5.2,4.0,15,15,1.0
1128938,12,2019.5,12,2022.0,3.1666666666666665,3.0,12,12,1.0
1129073,11,2016.0,11,2021.0,4.454545454545454,4.0,11,0,0.0
1131697,29,2018.0,29,2020.0,4.862068965517241,5.0,29,29,1.0
1135958,3,2019.0,3,2021.0,4.0,4.0,3,3,1.0
1137846,27,2011.0,27,2022.0,4.407407407407407,3.0,27,0,0.0
1139335,5,2010.0,5,2020.0,7.4,5.0,5,0,0.0
1140021,19,2005.0,19,2020.0,5.0,5.0,19,0,0.0
1142320,10,2020.0,10,2021.0,4.2,4.0,10,10,1.0
1151457,16,1999.5,16,2017.0,7.8125,8.0,16,16,1.0
1152312,4,2018.0,4,2020.0,5.5,5.0,4,4,1.0
1152591,9,2010.0,9,2021.0,4.111111111111111,4.0,9,0,0.0
1152637,15,2020.0,15,2021.0,4.733333333333333,4.0,15,15,1.0
1152880,26,2020.0,26,2022.0,3.6153846153846154,3.0,26,0,0.0
1153801,44,2016.5,44,2018.0,6.613636363636363,7.0,44,44,1.0
1154825,22,2008.0,22,2021.0,4.590909090909091,4.0,22,0,0.0
1155366,21,2017.0,21,2019.0,6.666666666666667,6.0,21,21,1.0
1156565,4,2015.5,4,2021.5,4.0,3.5,4,4,1.0
1156623,7,2017.0,7,2021.0,4.285714285714286,4.0,7,7,1.0
1160182,13,2010.0,13,2017.0,7.0,8.0,13,0,0.0
1160371,32,2015.0,32,2018.0,6.40625,7.0,32,32,1.0
1160424,11,2013.0,11,2016.0,9.090909090909092,9.0,11,11,1.0
1160481,5,2021.0,5,2022.0,2.4,3.0,5,5,1.0
1160830,629,2008.0,629,2021.0,4.828298887122417,4.0,629,0,0.0
1160979,24,2018.0,24,2021.0,5.583333333333333,4.0,24,0,0.0
1161404,30,2012.0,30,2017.5,8.066666666666666,7.5,30,30,1.0
1166758,18,2008.0,18,2020.0,5.0,5.0,18,0,0.0
1168573,9,2017.0,9,2020.0,5.111111111111111,5.0,9,9,1.0
1172590,250,2009.0,250,2022.0,2.784,3.0,250,0,0.0
1179877,35,2013.0,35,2016.0,9.8,9.0,35,35,1.0
1181042,21,2017.0,21,2021.0,4.857142857142857,4.0,21,0,0.0
1182640,20,2017.0,20,2019.5,5.55,5.5,20,14,0.7
1182765,13,2017.0,13,2021.0,4.384615384615385,4.0,13,13,1.0
1184450,25,2019.0,25,2021.0,4.24,4.0,25,0,0.0
1185309,6,2001.5,6,2017.0,8.0,8.0,6,0,0.0
1185450,2,2019.0,2,2021.5,3.5,3.5,2,2,1.0
1188419,13,2021.0,13,2022.0,3.3076923076923075,3.0,13,0,0.0
1190159,1332,2018.0,1332,2023.0,1.9872372372372373,2.0,1332,1332,1.0
1193885,8,2006.5,8,2021.0,4.0,4.0,8,0,0.0
1202856,59,2010.0,59,2021.0,4.864406779661017,4.0,59,0,0.0
1203136,36,2004.0,36,2020.0,5.833333333333333,5.0,36,9,0.25
1205924,24,2005.5,24,2022.0,3.2916666666666665,3.0,24,24,1.0
1214485,7,2015.0,7,2020.0,6.285714285714286,5.0,7,0,0.0
1258370,4,2018.5,4,2023.0,2.25,2.0,4,4,1.0
1260434,11,2019.0,11,2021.0,3.727272727272727,4.0,11,11,1.0
1264321,6,2018.0,6,2020.0,5.0,5.0,6,0,0.0
1264336,7,2016.0,7,2020.0,5.0,5.0,7,7,1.0
1266766,63,2015.0,63,2023.0,1.9365079365079365,2.0,63,63,1.0
1268237,3,2017.0,3,2020.0,5.666666666666667,5.0,3,3,1.0
1270326,3,2017.0,3,2019.0,6.333333333333333,6.0,3,3,1.0
1270371,12,2019.0,12,2021.0,4.25,4.0,12,11,0.9166666666666666
1284904,6,2017.0,6,2023.0,2.0,2.0,6,0,0.0
1285866,522,2023.0,522,2025.0,0.7528735632183908,0.0,522,522,1.0
1292570,801,2021.0,801,2023.0,2.2671660424469415,2.0,801,801,1.0
1292767,11,2018.0,11,2019.0,6.2727272727272725,6.0,11,0,0.0
1292902,15,2012.0,15,2020.0,5.2,5.0,15,15,1.0
1296649,132,2019.0,132,2025.0,0.9545454545454546,0.0,132,132,1.0
1298841,14,2015.0,14,2022.0,3.142857142857143,3.0,14,14,1.0
1300008,69,2009.0,69,2023.0,2.1449275362318843,2.0,69,69,1.0
1300375,35,2016.0,35,2019.0,6.142857142857143,6.0,35,7,0.2
1304557,18,2020.0,18,2021.0,4.222222222222222,4.0,18,0,0.0
1312211,8,2015.5,8,2020.0,5.125,5.0,8,8,1.0
1313067,31,2006.0,31,2018.0,6.483870967741935,7.0,31,0,0.0
1313355,11,2017.0,11,2020.0,5.0,5.0,11,11,1.0
1313360,11,2017.0,11,2022.0,4.363636363636363,3.0,11,11,1.0
1315060,1388,2023.0,1388,2024.0,0.9870317002881844,1.0,1388,1388,1.0
1321332,20,2012.5,20,2020.0,5.0,5.0,20,20,1.0
1321334,4,2006.5,4,2021.0,4.0,4.0,4,0,0.0
1321678,5,2002.0,5,2025.0,0.2,0.0,5,1,0.2
1327336,12,2018.5,12,2020.0,5.25,5.0,12,0,0.0
1327524,14,2016.0,14,2018.0,8.071428571428571,7.0,14,14,1.0
1330050,132,2010.0,132,2021.0,4.446969696969697,4.0,132,0,0.0
1330203,1,1995.0,1,2014.0,11.0,11.0,1,1,1.0
1330366,2,2019.5,2,2020.5,4.5,4.5,2,2,1.0
1330369,3,2020.0,3,2021.0,4.0,4.0,3,3,1.0
1330372,5,2019.0,5,2020.0,5.2,5.0,5,5,1.0
1330384,17,2014.0,17,2019.0,6.176470588235294,6.0,17,8,0.47058823529411764
1331356,14,2007.5,14,2022.0,3.0,3.0,14,13,0.9285714285714286
1332695,18,2017.0,18,2020.0,5.222222222222222,5.0,18,18,1.0
1333201,17,2017.0,17,2020.0,4.647058823529412,5.0,17,0,0.0
1338287,3,2017.0,3,2019.0,5.0,6.0,3,3,1.0
1340989,16,2018.0,16,2020.0,4.9375,5.0,16,0,0.0
1341230,12,2021.0,12,2022.0,3.4166666666666665,3.0,12,0,0.0
1341347,13,2018.0,13,2021.0,4.615384615384615,4.0,13,13,1.0
1349112,14,2013.0,14,2019.0,4.928571428571429,6.0,14,14,1.0
1350689,7,2020.0,7,2022.0,2.7142857142857144,3.0,7,0,0.0
1366967,17,2014.0,17,2020.0,5.647058823529412,5.0,17,17,1.0
1375344,32,2007.0,32,2024.0,1.6875,1.0,32,32,1.0
1379285,101,2008.0,101,2022.0,3.4455445544554455,3.0,101,0,0.0
1382647,10,2013.5,10,2021.0,4.0,4.0,10,0,0.0
1382815,4,2021.0,4,2022.0,3.0,3.0,4,4,1.0
1385337,2,2011.5,2,2021.5,3.5,3.5,2,0,0.0
1387235,10,2014.0,10,2019.0,5.8,6.0,10,10,1.0
1396228,18,2016.0,18,2022.0,3.0,3.0,18,0,0.0
1399848,13,2016.0,13,2022.0,3.3076923076923075,3.0,13,0,0.0
1401623,525,2001.0,525,2020.0,5.053333333333334,5.0,525,525,1.0
1405215,30,2015.5,30,2022.5,2.466666666666667,2.5,30,30,1.0
1406007,3,2010.0,3,2022.0,3.0,3.0,3,0,0.0
1406064,1,2018.0,1,2019.0,6.0,6.0,1,1,1.0
1407205,1,2005.0,1,2021.0,4.0,4.0,1,1,1.0
1414995,9,2015.0,9,2020.0,5.222222222222222,5.0,9,9,1.0
1416142,10,2021.0,10,2022.0,3.6,3.0,10,10,1.0
1419680,15,2015.0,15,2022.0,2.0,3.0,15,0,0.0
1419827,10,2007.0,10,2022.0,2.4,3.0,10,10,1.0
1420449,4,2008.0,4,2025.0,0.0,0.0,4,0,0.0
1420637,20,2011.5,20,2019.5,5.55,5.5,20,20,1.0
1439555,35,2005.0,35,2022.0,2.4857142857142858,3.0,35,0,0.0
1441230,13,2019.0,13,2021.0,3.923076923076923,4.0,13,0,0.0
1442119,24,2017.0,24,2019.0,6.041666666666667,6.0,24,24,1.0
1442126,4,2007.5,4,2017.5,7.5,7.5,4,0,0.0
1442906,22,2018.0,22,2021.0,4.7272727272727275,4.0,22,22,1.0
1442928,6,2013.0,6,2022.0,3.0,3.0,6,6,1.0
1445889,3,2011.0,3,2021.0,4.333333333333333,4.0,3,3,1.0
1451120,62,2018.0,62,2021.0,3.629032258064516,4.0,62,0,0.0
1452609,7,2011.0,7,2021.0,3.7142857142857144,4.0,7,7,1.0
1453816,9,2019.0,9,2021.0,4.333333333333333,4.0,9,9,1.0
1454028,1,2003.0,1,2023.0,2.0,2.0,1,1,1.0
1454137,5,2017.0,5,2022.0,3.0,3.0,5,0,0.0
1457027,10,2016.5,10,2021.0,3.8,4.0,10,10,1.0
1457037,3,2010.0,3,2021.0,5.333333333333333,4.0,3,0,0.0
1457167,22,2017.5,22,2021.0,4.2272727272727275,4.0,22,0,0.0
1457267,4,2018.5,4,2021.5,3.75,3.5,4,1,0.25
1458143,3,2021.0,3,2022.0,3.6666666666666665,3.0,3,3,1.0
1458481,4,2004.0,4,2023.0,2.25,2.0,4,0,0.0
1458668,11,2012.0,11,2022.0,2.6363636363636362,3.0,11,0,0.0
1465529,9,2009.0,9,2022.0,3.3333333333333335,3.0,9,0,0.0
1467890,2,2009.0,2,2018.0,7.0,7.0,2,0,0.0
1468161,4,2014.0,4,2021.0,4.0,4.0,4,4,1.0
1472818,13,2007.0,13,2021.0,3.923076923076923,4.0,13,0,0.0
1473015,9,1999.0,9,2022.0,3.3333333333333335,3.0,9,0,0.0
1473185,1,1996.0,1,2021.0,4.0,4.0,1,1,1.0
1477654,32,2010.0,32,2023.0,2.0,2.0,32,0,0.0
1483407,9,2013.0,9,2022.0,3.111111111111111,3.0,9,9,1.0
1483490,22,2014.0,22,2022.0,2.409090909090909,3.0,22,0,0.0
1483500,16,2021.0,16,2023.0,1.625,2.0,16,15,0.9375
1483518,3,2010.0,3,2018.0,7.0,7.0,3,0,0.0
1485453,3,2012.0,3,2013.0,11.333333333333334,12.0,3,3,1.0
1486952,14,2015.5,14,2020.5,4.5,4.5,14,14,1.0
1487060,18,2010.0,18,2021.0,4.222222222222222,4.0,18,0,0.0
1487353,7,2007.0,7,2017.0,7.428571428571429,8.0,7,0,0.0
1488240,7,2017.0,7,2022.0,3.5714285714285716,3.0,7,7,1.0
1488974,18,2004.5,18,2022.0,2.4444444444444446,3.0,18,18,1.0
1497052,3,2012.0,3,2018.0,7.0,7.0,3,0,0.0
1499549,8,2013.5,8,2020.5,4.25,4.5,8,8,1.0
1506116,15,2018.0,15,2022.0,3.3333333333333335,3.0,15,15,1.0
1509485,3,2011.0,3,2022.0,3.0,3.0,3,3,1.0
1514192,1,2020.0,1,2021.0,4.0,4.0,1,1,1.0
1515609,19,2019.0,19,2021.0,3.789473684210526,4.0,19,19,1.0
1515616,18,2019.0,18,2021.0,3.8333333333333335,4.0,18,18,1.0
1515618,9,2015.0,9,2020.0,5.222222222222222,5.0,9,4,0.4444444444444444
1516669,1,2003.0,1,2022.0,3.0,3.0,1,0,0.0
1517196,8,2018.0,8,2022.0,3.25,3.0,8,0,0.0
1517293,59,2018.0,59,2024.0,0.6949152542372882,1.0,59,0,0.0
1518083,5,2010.0,5,2022.0,2.4,3.0,5,5,1.0
1519071,4,2012.0,4,2022.5,2.5,2.5,4,4,1.0
1520538,1,2007.0,1,2021.0,4.0,4.0,1,1,1.0
1522008,30,2004.0,30,2025.0,0.3333333333333333,0.0,30,0,0.0
1525884,8,2015.0,8,2022.0,2.125,3.0,8,8,1.0
1525963,1,2017.0,1,2020.0,5.0,5.0,1,0,0.0
1527381,8,2002.0,8,2022.0,3.0,3.0,8,0,0.0
1536334,146,2005.0,146,2022.0,3.0,3.0,146,0,0.0
1541484,21,2021.0,21,2022.0,2.7142857142857144,3.0,21,21,1.0
1543037,2,2021.0,2,2022.0,3.0,3.0,2,2,1.0
1546260,2,2000.0,2,2022.0,3.0,3.0,2,0,0.0
1546969,2,2010.0,2,2022.0,3.0,3.0,2,0,0.0
1547032,1,2016.0,1,2024.0,1.0,1.0,1,0,0.0
1547054,1,2008.0,1,2022.0,3.0,3.0,1,0,0.0
1550087,365,2005.0,365,2024.0,1.1561643835616437,1.0,365,365,1.0
1550199,4,2011.5,4,2022.0,2.75,3.0,4,0,0.0
1550498,6,2020.5,6,2022.0,2.8333333333333335,3.0,6,0,0.0
1550509,5,2018.0,5,2022.0,3.2,3.0,5,5,1.0
1551083,2,2020.5,2,2023.0,2.0,2.0,2,0,0.0
1555830,32,2004.0,32,2023.0,2.40625,2.0,32,0,0.0
1562928,8,2020.0,8,2021.0,4.0,4.0,8,0,0.0
1571245,6,2006.5,6,2021.0,3.5,4.0,6,0,0.0
1572855,1,2021.0,1,2022.0,3.0,3.0,1,1,1.0
1575689,13,2005.0,13,2020.0,5.461538461538462,5.0,13,13,1.0
1576008,10,2008.5,10,2022.5,2.7,2.5,10,10,1.0
1576347,1,2022.0,1,2024.0,1.0,1.0,1,1,1.0
1576448,5,2010.0,5,2024.0,1.4,1.0,5,5,1.0
1576702,1,2021.0,1,2023.0,2.0,2.0,1,1,1.0
1577419,8,2017.5,8,2022.0,3.0,3.0,8,0,0.0
1584375,1,2015.0,1,2023.0,2.0,2.0,1,1,1.0
1591417,5,2020.0,5,2022.0,3.2,3.0,5,0,0.0
1591581,9,2022.0,9,2023.0,2.3333333333333335,2.0,9,0,0.0
1595470,1,2013.0,1,2021.0,4.0,4.0,1,1,1.0
1595646,16,2015.0,16,2022.0,3.0,3.0,16,16,1.0
1595781,3,2021.0,3,2022.0,3.0,3.0,3,3,1.0
1596704,3,2013.0,3,2024.0,1.0,1.0,3,1,0.3333333333333333
1597098,1,1997.0,1,2024.0,1.0,1.0,1,0,0.0
1598572,5,2010.0,5,2022.0,3.0,3.0,5,5,1.0
1598970,2,2020.0,2,2022.0,3.0,3.0,2,2,1.0
1599021,29,2019.0,29,2022.0,3.413793103448276,3.0,29,25,0.8620689655172413
1599390,1,1999.0,1,2022.0,3.0,3.0,1,1,1.0
1611291,37,2014.0,37,2022.0,3.0,3.0,37,0,0.0
1611292,10,2008.0,10,2022.0,3.0,3.0,10,0,0.0
1615079,5,1999.0,5,2023.0,2.4,2.0,5,0,0.0
1625069,28,2015.5,28,2022.0,3.0,3.0,28,0,0.0
1625081,13,2012.0,13,2022.0,3.0,3.0,13,0,0.0
1625089,19,2011.0,19,2022.0,3.0,3.0,19,0,0.0
1625094,14,2009.5,14,2022.0,3.0,3.0,14,0,0.0
1634832,7,2016.0,7,2023.0,2.142857142857143,2.0,7,0,0.0
1634842,3,2010.0,3,2023.0,2.0,2.0,3,0,0.0
1634877,2,2012.5,2,2023.5,1.5,1.5,2,0,0.0
1634891,11,2012.0,11,2023.0,2.0,2.0,11,0,0.0
1668061,4,2016.5,4,2019.0,6.0,6.0,4,2,0.5
1676716,15,2012.0,15,2022.0,3.0,3.0,15,15,1.0
5000138,9,2020.0,9,2021.0,4.333333333333333,4.0,9,4,0.4444444444444444
5000487,12,2018.0,12,2022.0,3.0,3.0,12,12,1.0
5000493,11,2018.0,11,2021.0,3.6363636363636362,4.0,11,0,0.0
5000912,4,2016.0,4,2019.0,6.5,6.0,4,4,1.0
5001337,32,2018.5,32,2021.0,4.5625,4.0,32,0,0.0
